sepID,eventTime,instruments,submissionTime,versionId,link,linkedEvents,sentNotifications
2023-07-28T19:23:00-SEP-001,2023-07-28T19:23Z,[{'displayName': 'SOHO: COSTEP 28.2-50.1 MeV'}],2023-07-28T19:31Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/SEP/26221/-1,"[{'activityID': '2023-07-28T15:39:00-FLR-001'}, {'activityID': '2023-07-28T15:53:00-CME-001'}]","[{'messageID': '20230728-AL-003', 'messageIssueTime': '2023-07-28T19:42Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/26224/1'}]"
2023-07-28T23:50:00-SEP-001,2023-07-28T23:50Z,[{'displayName': 'GOES-P: SEISS >10 MeV'}],2023-07-29T19:11Z,3,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/SEP/26231/-1,"[{'activityID': '2023-07-28T15:39:00-FLR-001'}, {'activityID': '2023-07-28T15:53:00-CME-001'}]","[{'messageID': '20230728-AL-006', 'messageIssueTime': '2023-07-28T23:59Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/26232/1'}, {'messageID': '20230729-AL-002', 'messageIssueTime': '2023-07-29T12:09Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/26235/1'}]"
2023-07-29T00:53:00-SEP-001,2023-07-29T00:53Z,[{'displayName': 'STEREO A: IMPACT 13-100 MeV'}],2023-07-31T17:52Z,3,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/SEP/26233/-1,"[{'activityID': '2023-07-28T15:39:00-FLR-001'}, {'activityID': '2023-07-28T15:53:00-CME-001'}]","[{'messageID': '20230729-AL-001', 'messageIssueTime': '2023-07-29T01:00Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/26234/1'}, {'messageID': '20230730-AL-001', 'messageIssueTime': '2023-07-30T05:52Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/26254/1'}]"
2023-08-05T10:00:00-SEP-001,2023-08-05T10:00Z,[{'displayName': 'STEREO A: IMPACT 13-100 MeV'}],2023-08-07T17:33Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/SEP/26338/-1,"[{'activityID': '2023-08-05T06:18:00-FLR-001'}, {'activityID': '2023-08-05T07:12:00-CME-001'}, {'activityID': '2023-08-05T21:45:00-FLR-001'}, {'activityID': '2023-08-05T22:24:00-CME-001'}]","[{'messageID': '20230805-AL-002', 'messageIssueTime': '2023-08-05T10:09Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/26339/1'}]"
2023-08-05T10:19:00-SEP-001,2023-08-05T10:19Z,[{'displayName': 'SOHO: COSTEP 15.8-39.8 MeV'}],2023-08-07T17:39Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/SEP/26349/-1,"[{'activityID': '2023-08-05T06:18:00-FLR-001'}, {'activityID': '2023-08-05T07:12:00-CME-001'}, {'activityID': '2023-08-05T21:45:00-FLR-001'}, {'activityID': '2023-08-05T22:24:00-CME-001'}]",
2023-08-05T10:47:00-SEP-001,2023-08-05T10:47Z,[{'displayName': 'SOHO: COSTEP 28.2-50.1 MeV'}],2023-08-07T17:38Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/SEP/26350/-1,"[{'activityID': '2023-08-05T06:18:00-FLR-001'}, {'activityID': '2023-08-05T07:12:00-CME-001'}, {'activityID': '2023-08-05T21:45:00-FLR-001'}, {'activityID': '2023-08-05T22:24:00-CME-001'}]",
2023-08-05T10:59:00-SEP-001,2023-08-05T10:59Z,[{'displayName': 'MODEL: REleASE:ACE/EPAM 15.8-39.8 MeV'}],2023-08-05T12:49Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/SEP/26348/-1,"[{'activityID': '2023-08-05T06:18:00-FLR-001'}, {'activityID': '2023-08-05T07:12:00-CME-001'}]",
2023-08-05T11:15:00-SEP-001,2023-08-05T11:15Z,[{'displayName': 'GOES-P: SEISS >10 MeV'}],2023-08-07T17:36Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/SEP/26340/-1,"[{'activityID': '2023-08-05T06:18:00-FLR-001'}, {'activityID': '2023-08-05T07:12:00-CME-001'}, {'activityID': '2023-08-05T21:45:00-FLR-001'}, {'activityID': '2023-08-05T22:24:00-CME-001'}]","[{'messageID': '20230805-AL-003', 'messageIssueTime': '2023-08-05T11:25Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/26341/1'}, {'messageID': '20230805-AL-006', 'messageIssueTime': '2023-08-05T13:01Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/26351/1'}]"
2023-08-05T12:33:00-SEP-001,2023-08-05T12:33Z,[{'displayName': 'MODEL: REleASE:SOHO/EPHIN 15.8-39.8 MeV'}],2023-08-05T12:48Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/SEP/26347/-1,"[{'activityID': '2023-08-05T06:18:00-FLR-001'}, {'activityID': '2023-08-05T07:12:00-CME-001'}]",
2023-08-07T22:09:00-SEP-001,2023-08-07T22:09Z,[{'displayName': 'SOHO: COSTEP 15.8-39.8 MeV'}],2023-08-07T22:28Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/SEP/26406/-1,"[{'activityID': '2023-08-07T20:30:00-FLR-001'}, {'activityID': '2023-08-07T20:48:00-CME-001'}]",
2023-08-07T22:19:00-SEP-001,2023-08-07T22:19Z,[{'displayName': 'SOHO: COSTEP 28.2-50.1 MeV'}],2023-08-07T22:29Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/SEP/26407/-1,"[{'activityID': '2023-08-07T20:30:00-FLR-001'}, {'activityID': '2023-08-07T20:48:00-CME-001'}]","[{'messageID': '20230807-AL-005', 'messageIssueTime': '2023-08-07T22:33Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/26408/1'}]"
2023-08-08T01:00:00-SEP-001,2023-08-08T01:00Z,[{'displayName': 'GOES-P: SEISS >10 MeV'}],2023-08-08T01:10Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/SEP/26416/-1,"[{'activityID': '2023-08-07T20:30:00-FLR-001'}, {'activityID': '2023-08-07T20:48:00-CME-001'}]","[{'messageID': '20230808-AL-002', 'messageIssueTime': '2023-08-08T01:10Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/26417/1'}, {'messageID': '20230808-AL-003', 'messageIssueTime': '2023-08-08T01:19Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/26418/1'}]"
2023-08-08T01:48:00-SEP-001,2023-08-08T01:48Z,[{'displayName': 'MODEL: REleASE:SOHO/EPHIN 15.8-39.8 MeV'}],2023-08-08T00:56Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/SEP/26415/-1,"[{'activityID': '2023-08-07T20:30:00-FLR-001'}, {'activityID': '2023-08-07T20:48:00-CME-001'}]",
2023-08-08T01:59:00-SEP-001,2023-08-08T01:59Z,[{'displayName': 'MODEL: REleASE:ACE/EPAM 15.8-39.8 MeV'}],2023-08-08T12:28Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/SEP/26422/-1,"[{'activityID': '2023-08-07T20:30:00-FLR-001'}, {'activityID': '2023-08-07T20:48:00-CME-001'}]",
2023-08-08T04:26:00-SEP-001,2023-08-08T04:26Z,[{'displayName': 'STEREO A: IMPACT 13-100 MeV'}],2023-08-09T18:33Z,3,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/SEP/26419/-1,"[{'activityID': '2023-08-07T20:30:00-FLR-001'}, {'activityID': '2023-08-07T20:48:00-CME-001'}]","[{'messageID': '20230808-AL-004', 'messageIssueTime': '2023-08-08T04:33Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/26420/1'}, {'messageID': '20230808-AL-005', 'messageIssueTime': '2023-08-08T05:00Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/26421/1'}, {'messageID': '20230809-AL-001', 'messageIssueTime': '2023-08-09T04:34Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/26434/1'}]"
2023-09-01T04:30:00-SEP-001,2023-09-01T04:30Z,[{'displayName': 'GOES-P: SEISS >10 MeV'}],2023-09-01T04:38Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/SEP/26701/-1,"[{'activityID': '2023-09-01T03:24:00-CME-001'}, {'activityID': '2023-09-01T03:26:00-FLR-001'}]","[{'messageID': '20230901-AL-002', 'messageIssueTime': '2023-09-01T04:38Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/26702/1'}, {'messageID': '20230901-AL-003', 'messageIssueTime': '2023-09-01T04:46Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/26705/1'}]"
2023-09-01T04:34:00-SEP-002,2023-09-01T04:34Z,[{'displayName': 'MODEL: REleASE:ACE/EPAM 15.8-39.8 MeV'}],2023-09-01T03:54Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/SEP/26696/-1,"[{'activityID': '2023-09-01T03:24:00-CME-001'}, {'activityID': '2023-09-01T03:26:00-FLR-001'}]",
2023-09-01T04:34:00-SEP-001,2023-09-01T04:34Z,[{'displayName': 'MODEL: REleASE:ACE/EPAM 28.2-50.1 MeV'}],2023-09-01T03:53Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/SEP/26697/-1,"[{'activityID': '2023-09-01T03:24:00-CME-001'}, {'activityID': '2023-09-01T03:26:00-FLR-001'}]","[{'messageID': '20230901-AL-001', 'messageIssueTime': '2023-09-01T03:56Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/26698/1'}]"
2023-09-01T04:34:00-SEP-003,2023-09-01T04:34Z,[{'displayName': 'STEREO A: IMPACT 13-100 MeV'}],2023-09-01T04:49Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/SEP/26706/-1,"[{'activityID': '2023-09-01T03:24:00-CME-001'}, {'activityID': '2023-09-01T03:26:00-FLR-001'}]","[{'messageID': '20230901-AL-004', 'messageIssueTime': '2023-09-01T04:54Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/26707/1'}]"
2023-09-01T04:49:00-SEP-001,2023-09-01T04:49Z,[{'displayName': 'MODEL: REleASE:SOHO/EPHIN 15.8-39.8 MeV'}],2023-09-01T04:25Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/SEP/26699/-1,"[{'activityID': '2023-09-01T03:24:00-CME-001'}, {'activityID': '2023-09-01T03:26:00-FLR-001'}]",
2023-09-01T04:49:00-SEP-002,2023-09-01T04:49Z,[{'displayName': 'MODEL: REleASE:SOHO/EPHIN 28.2-50.1 MeV'}],2023-09-01T04:25Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/SEP/26700/-1,"[{'activityID': '2023-09-01T03:24:00-CME-001'}, {'activityID': '2023-09-01T03:26:00-FLR-001'}]",
2023-09-01T05:05:00-SEP-001,2023-09-01T05:05Z,[{'displayName': 'SOHO: COSTEP 15.8-39.8 MeV'}],2023-09-01T05:33Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/SEP/26710/-1,"[{'activityID': '2023-09-01T03:24:00-CME-001'}, {'activityID': '2023-09-01T03:26:00-FLR-001'}]",
2023-09-01T05:05:00-SEP-002,2023-09-01T05:05Z,[{'displayName': 'SOHO: COSTEP 28.2-50.1 MeV'}],2023-09-01T05:34Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/SEP/26711/-1,"[{'activityID': '2023-09-01T03:24:00-CME-001'}, {'activityID': '2023-09-01T03:26:00-FLR-001'}]","[{'messageID': '20230901-AL-006', 'messageIssueTime': '2023-09-01T05:38Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/26712/1'}]"
